,Transported,CryoSleep,Age,VIP,,Transported',,VIP,Age,CryoSleep,B_0
4092,1,1,32,0,,"0,2441973641",FALSE,,,,
4095,1,1,27,0,,"0,206041526",FALSE,,,,
4097,1,1,22,0,,"0,1678856878",FALSE,,,,
4098,1,0,25,0,,"0,1907791907",FALSE,,,,
4099,1,0,34,0,,"0,2594596994",FALSE,,,,
4100,1,1,54,0,,"0,412083052",TRUE,,,,
4103,1,0,43,0,,"0,3281402081",TRUE,,,,
4104,1,0,23,0,,"0,1755168555",FALSE,,,,
4105,1,0,57,0,,"0,4349765549",TRUE,,,,
4106,1,0,54,0,,"0,412083052",TRUE,,,,
4107,1,0,51,0,,"0,3891895491",TRUE,,,,
4109,1,0,33,0,,"0,2518285318",FALSE,,,,
4110,1,1,8,0,,"0,06104934103",FALSE,,,,
4111,1,1,44,0,,"0,3357713757",TRUE,,,,
4113,1,0,48,0,,"0,3662960462",TRUE,,,,
4119,1,1,35,0,,"0,267090867",FALSE,,,,
4122,1,0,0,0,,0,FALSE,,,,
4123,1,1,5,0,,"0,03815583815",FALSE,,,,
4124,1,1,16,0,,"0,1220986821",FALSE,,,,
4125,1,1,18,0,,"0,1373610173",FALSE,,,,
4130,1,1,27,0,,"0,206041526",FALSE,,,,
4131,1,1,55,0,,"0,4197142196",TRUE,,,,
4132,1,1,75,0,,"0,5723375722",TRUE,,,,
4133,1,0,50,0,,"0,3815583815",TRUE,,,,
4135,1,0,37,0,,"0,2823532023",FALSE,,,,
4138,1,1,47,0,,"0,3586648786",TRUE,,,,
4139,1,1,13,0,,"0,09920517918",FALSE,,,,
4140,1,0,29,0,,"0,2213038612",FALSE,,,,
4142,1,1,30,0,,"0,2289350289",FALSE,,,,
4145,1,0,29,0,,"0,2213038612",FALSE,,,,
4147,1,0,18,0,,"0,1373610173",FALSE,,,,
4151,1,1,22,0,,"0,1678856878",FALSE,,,,
4152,1,1,20,0,,"0,1526233526",FALSE,,,,
4154,1,0,23,0,,"0,1755168555",FALSE,,,,
4155,1,1,31,1,,"0,2813383188",FALSE,,,,
4156,1,1,39,0,,"0,2976155375",FALSE,,,,
4157,1,0,50,0,,"0,3815583815",TRUE,,,,
4162,1,1,59,0,,"0,4502388901",TRUE,,,,
4163,1,0,41,0,,"0,3128778728",TRUE,,,,
4164,1,1,33,0,,"0,2518285318",FALSE,,,,
4165,1,1,54,0,,"0,412083052",TRUE,,,,
4166,1,0,40,0,,"0,3052467052",FALSE,,,,
4167,1,0,43,0,,"0,3281402081",TRUE,,,,
4168,1,1,26,0,,"0,1984103584",FALSE,,,,
4169,1,0,65,0,,"0,4960258959",TRUE,,,,
4170,1,1,22,0,,"0,1678856878",FALSE,,,,
4172,1,1,35,0,,"0,267090867",FALSE,,,,
4173,1,1,30,1,,"0,2737071512",FALSE,,,,
4175,1,0,23,0,,"0,1755168555",FALSE,,,,
4176,1,0,24,0,,"0,1831480231",FALSE,,,,
4177,1,1,16,0,,"0,1220986821",FALSE,,,,
4178,1,1,18,0,,"0,1373610173",FALSE,,,,
4180,1,1,29,0,,"0,2213038612",FALSE,,,,
4181,1,1,29,0,,"0,2213038612",FALSE,,,,
4187,1,0,23,0,,"0,1755168555",FALSE,,,,
4188,1,1,26,0,,"0,1984103584",FALSE,,,,
4195,1,1,2,0,,"0,01526233526",FALSE,,,,
4196,1,1,24,0,,"0,1831480231",FALSE,,,,
4197,1,1,2,0,,"0,01526233526",FALSE,,,,
4199,1,1,27,0,,"0,206041526",FALSE,,,,
4204,1,0,9,0,,"0,06868050866",FALSE,,,,
4205,1,0,0,0,,0,FALSE,,,,
4207,1,1,3,0,,"0,02289350289",FALSE,,,,
4210,1,1,34,0,,"0,2594596994",FALSE,,,,
4212,1,1,26,0,,"0,1984103584",FALSE,,,,
4216,1,1,46,0,,"0,3510337109",TRUE,,,,
4217,1,0,26,0,,"0,1984103584",FALSE,,,,
4218,1,1,28,0,,"0,2136726936",FALSE,,,,
4219,1,0,20,0,,"0,1526233526",FALSE,,,,
4223,1,1,4,0,,"0,03052467052",FALSE,,,,
4225,1,1,31,0,,"0,2365661965",FALSE,,,,
4226,1,0,15,0,,"0,1144675144",FALSE,,,,
4230,1,1,22,0,,"0,1678856878",FALSE,,,,
4232,1,0,53,0,,"0,4044518844",TRUE,,,,
4238,1,0,48,0,,"0,3662960462",TRUE,,,,
4239,1,0,41,0,,"0,3128778728",TRUE,,,,
4240,1,0,13,0,,"0,09920517918",FALSE,,,,
4241,1,0,57,0,,"0,4349765549",TRUE,,,,
4242,1,1,25,0,,"0,1907791907",FALSE,,,,
4243,1,1,48,0,,"0,3662960462",TRUE,,,,
4245,1,1,16,0,,"0,1220986821",FALSE,,,,
4247,1,0,15,0,,"0,1144675144",FALSE,,,,
4252,1,0,25,0,,"0,1907791907",FALSE,,,,
4253,1,0,27,1,,"0,2508136483",FALSE,,,,
4256,1,1,54,0,,"0,412083052",TRUE,,,,
4257,1,1,30,0,,"0,2289350289",FALSE,,,,
4258,1,1,37,0,,"0,2823532023",FALSE,,,,
4259,1,0,30,0,,"0,2289350289",FALSE,,,,
4264,1,0,0,0,,0,FALSE,,,,
4265,1,1,15,0,,"0,1144675144",FALSE,,,,
4266,1,1,19,0,,"0,144992185",FALSE,,,,
4267,1,1,20,0,,"0,1526233526",FALSE,,,,
4269,1,1,34,0,,"0,2594596994",FALSE,,,,
4270,1,1,17,0,,"0,1297298497",FALSE,,,,
4271,1,0,20,0,,"0,1526233526",FALSE,,,,
4273,1,0,28,0,,"0,2136726936",FALSE,,,,
4274,1,0,43,0,,"0,3281402081",TRUE,,,,
4279,1,0,25,0,,"0,1907791907",FALSE,,,,
4280,1,0,27,0,,"0,206041526",FALSE,,,,
4282,1,1,31,0,,"0,2365661965",FALSE,,,,
4283,1,1,19,0,,"0,144992185",FALSE,,,,
4288,1,1,29,0,,"0,2213038612",FALSE,,,,
4290,1,1,64,0,,"0,4883947283",TRUE,,,,
4291,1,1,24,0,,"0,1831480231",FALSE,,,,
4293,1,0,22,0,,"0,1678856878",FALSE,,,,
4297,1,1,17,0,,"0,1297298497",FALSE,,,,
4298,1,1,35,0,,"0,267090867",FALSE,,,,
4299,1,0,33,0,,"0,2518285318",FALSE,,,,
4300,1,0,37,0,,"0,2823532023",FALSE,,,,
4304,1,1,34,0,,"0,2594596994",FALSE,,,,
4305,1,0,9,0,,"0,06868050866",FALSE,,,,
4306,1,1,25,0,,"0,1907791907",FALSE,,,,
4307,1,1,29,0,,"0,2213038612",FALSE,,,,
4308,1,1,1,0,,"0,007631167629",FALSE,,,,
4309,1,0,30,0,,"0,2289350289",FALSE,,,,
4312,1,0,27,0,,"0,206041526",FALSE,,,,
4314,1,1,25,0,,"0,1907791907",FALSE,,,,
4315,1,1,28,0,,"0,2136726936",FALSE,,,,
4316,1,1,32,0,,"0,2441973641",FALSE,,,,
4318,1,1,26,0,,"0,1984103584",FALSE,,,,
4325,1,0,31,0,,"0,2365661965",FALSE,,,,
4328,1,1,23,0,,"0,1755168555",FALSE,,,,
4329,1,0,14,0,,"0,1068363468",FALSE,,,,
4330,1,1,40,0,,"0,3052467052",FALSE,,,,
4331,1,0,42,0,,"0,3205090404",TRUE,,,,
4334,1,0,28,0,,"0,2136726936",FALSE,,,,
4335,1,1,25,0,,"0,1907791907",FALSE,,,,
4336,1,0,34,1,,"0,3042318217",FALSE,,,,
4338,1,0,31,0,,"0,2365661965",FALSE,,,,
4339,1,1,24,0,,"0,1831480231",FALSE,,,,
4340,1,0,52,0,,"0,3968207167",TRUE,,,,
4341,1,1,25,0,,"0,1907791907",FALSE,,,,
4342,1,1,17,0,,"0,1297298497",FALSE,,,,
4344,1,1,29,0,,"0,2213038612",FALSE,,,,
4345,1,0,45,0,,"0,3434025433",TRUE,,,,
4346,1,0,28,0,,"0,2136726936",FALSE,,,,
4347,1,1,25,0,,"0,1907791907",FALSE,,,,
4348,1,1,57,0,,"0,4349765549",TRUE,,,,
4349,1,1,68,0,,"0,5189193988",TRUE,,,,
4355,1,1,16,0,,"0,1220986821",FALSE,,,,
4357,1,0,62,1,,"0,5179045153",TRUE,,,,
4358,1,0,26,0,,"0,1984103584",FALSE,,,,
4361,1,0,36,0,,"0,2747220347",FALSE,,,,
4362,1,0,13,0,,"0,09920517918",FALSE,,,,
4363,1,0,48,0,,"0,3662960462",TRUE,,,,
4364,1,1,27,0,,"0,206041526",FALSE,,,,
4365,1,0,22,0,,"0,1678856878",FALSE,,,,
4366,1,0,39,0,,"0,2976155375",FALSE,,,,
4369,1,0,33,0,,"0,2518285318",FALSE,,,,
4370,1,0,27,0,,"0,206041526",FALSE,,,,
4372,1,1,20,0,,"0,1526233526",FALSE,,,,
4373,1,1,32,0,,"0,2441973641",FALSE,,,,
4374,1,1,54,0,,"0,412083052",TRUE,,,,
4381,1,0,30,0,,"0,2289350289",FALSE,,,,
4383,1,1,4,0,,"0,03052467052",FALSE,,,,
4389,1,1,53,0,,"0,4044518844",TRUE,,,,
4390,1,0,46,0,,"0,3510337109",TRUE,,,,
4391,1,1,2,0,,"0,01526233526",FALSE,,,,
4392,1,1,1,0,,"0,007631167629",FALSE,,,,
4393,1,1,11,0,,"0,08394284392",FALSE,,,,
4394,1,0,3,0,,"0,02289350289",FALSE,,,,
4395,1,1,33,0,,"0,2518285318",FALSE,,,,
4396,1,1,3,0,,"0,02289350289",FALSE,,,,
4399,1,1,41,0,,"0,3128778728",TRUE,,,,
4400,1,1,64,0,,"0,4883947283",TRUE,,,,
4401,1,1,27,1,,"0,2508136483",FALSE,,,,
4404,1,0,42,0,,"0,3205090404",TRUE,,,,
4407,1,0,63,0,,"0,4807635606",TRUE,,,,
4409,1,1,2,0,,"0,01526233526",FALSE,,,,
4410,1,1,19,0,,"0,144992185",FALSE,,,,
4412,1,0,50,0,,"0,3815583815",TRUE,,,,
4413,1,0,38,0,,"0,2899843699",FALSE,,,,
4414,1,0,28,1,,"0,2584448159",FALSE,,,,
4415,1,1,35,0,,"0,267090867",FALSE,,,,
4419,1,1,65,0,,"0,4960258959",TRUE,,,,
4420,1,0,27,0,,"0,206041526",FALSE,,,,
4421,1,0,0,0,,0,FALSE,,,,
4423,1,1,19,0,,"0,144992185",FALSE,,,,
4424,1,1,39,0,,"0,2976155375",FALSE,,,,
4428,1,1,40,0,,"0,3052467052",FALSE,,,,
4431,1,0,22,0,,"0,1678856878",FALSE,,,,
4434,1,1,61,0,,"0,4655012254",TRUE,,,,
4438,1,1,35,0,,"0,267090867",FALSE,,,,
4439,1,0,21,0,,"0,1602545202",FALSE,,,,
4440,1,1,23,0,,"0,1755168555",FALSE,,,,
4441,1,0,17,0,,"0,1297298497",FALSE,,,,
4444,1,0,26,0,,"0,1984103584",FALSE,,,,
4445,1,0,26,0,,"0,1984103584",FALSE,,,,
4446,1,0,20,0,,"0,1526233526",FALSE,,,,
4447,1,1,28,0,,"0,2136726936",FALSE,,,,
4448,1,0,37,0,,"0,2823532023",FALSE,,,,
4450,1,1,49,0,,"0,3739272138",TRUE,,,,
4452,1,1,4,0,,"0,03052467052",FALSE,,,,
4453,1,1,32,0,,"0,2441973641",FALSE,,,,
4454,1,0,44,0,,"0,3357713757",TRUE,,,,
4455,1,0,20,0,,"0,1526233526",FALSE,,,,
4458,1,0,22,0,,"0,1678856878",FALSE,,,,
4459,1,1,35,0,,"0,267090867",FALSE,,,,
4460,1,0,0,1,,"0,04477212229",FALSE,,,,
4461,1,1,6,0,,"0,04578700578",FALSE,,,,
4462,1,0,38,0,,"0,2899843699",FALSE,,,,
4463,1,0,34,0,,"0,2594596994",FALSE,,,,
4464,1,1,34,0,,"0,2594596994",FALSE,,,,
4472,1,1,32,0,,"0,2441973641",FALSE,,,,
4473,1,1,44,1,,"0,380543498",TRUE,,,,
4474,1,1,54,0,,"0,412083052",TRUE,,,,
4478,1,1,35,0,,"0,267090867",FALSE,,,,
4479,1,0,29,0,,"0,2213038612",FALSE,,,,
4480,1,0,22,0,,"0,1678856878",FALSE,,,,
4481,1,1,22,0,,"0,1678856878",FALSE,,,,
4482,1,0,22,0,,"0,1678856878",FALSE,,,,
4483,1,1,18,0,,"0,1373610173",FALSE,,,,
4485,1,0,52,0,,"0,3968207167",TRUE,,,,
4486,1,1,0,0,,0,FALSE,,,,
4487,1,1,1,0,,"0,007631167629",FALSE,,,,
4489,1,1,6,0,,"0,04578700578",FALSE,,,,
4490,1,0,22,0,,"0,1678856878",FALSE,,,,
4491,1,1,31,0,,"0,2365661965",FALSE,,,,
4494,1,1,25,0,,"0,1907791907",FALSE,,,,
4495,1,1,23,0,,"0,1755168555",FALSE,,,,
4498,1,1,27,0,,"0,206041526",FALSE,,,,
4500,1,0,37,0,,"0,2823532023",FALSE,,,,
4501,1,1,21,0,,"0,1602545202",FALSE,,,,
4502,1,1,29,0,,"0,2213038612",FALSE,,,,
4503,1,1,46,1,,"0,3958058332",TRUE,,,,
4507,1,0,43,0,,"0,3281402081",TRUE,,,,
4508,1,1,18,0,,"0,1373610173",FALSE,,,,
4510,1,0,20,0,,"0,1526233526",FALSE,,,,
4512,1,0,50,0,,"0,3815583815",TRUE,,,,
4513,1,0,13,0,,"0,09920517918",FALSE,,,,
4514,1,1,43,0,,"0,3281402081",TRUE,,,,
4515,1,1,16,0,,"0,1220986821",FALSE,,,,
4516,1,1,31,0,,"0,2365661965",FALSE,,,,
4517,1,1,0,0,,0,FALSE,,,,
4518,1,1,10,0,,"0,07631167629",FALSE,,,,
4521,1,0,18,0,,"0,1373610173",FALSE,,,,
4522,1,0,7,0,,"0,0534181734",FALSE,,,,
4523,1,1,1,0,,"0,007631167629",FALSE,,,,
4527,1,0,49,0,,"0,3739272138",TRUE,,,,
4528,1,1,22,0,,"0,1678856878",FALSE,,,,
4529,1,0,21,0,,"0,1602545202",FALSE,,,,
4531,1,0,65,0,,"0,4960258959",TRUE,,,,
4532,1,1,20,0,,"0,1526233526",FALSE,,,,
4533,1,1,0,0,,0,FALSE,,,,
4534,1,1,16,0,,"0,1220986821",FALSE,,,,
4535,1,1,22,0,,"0,1678856878",FALSE,,,,
4536,1,0,0,0,,0,FALSE,,,,
4538,1,1,30,1,,"0,2737071512",FALSE,,,,
4539,1,0,14,0,,"0,1068363468",FALSE,,,,
4542,1,1,21,0,,"0,1602545202",FALSE,,,,
4544,1,1,29,0,,"0,2213038612",FALSE,,,,
4545,1,0,29,1,,"0,2660759835",FALSE,,,,
4546,1,0,21,1,,"0,2050266425",FALSE,,,,
4548,1,1,36,0,,"0,2747220347",FALSE,,,,
4549,1,1,59,0,,"0,4502388901",TRUE,,,,
4553,1,1,36,0,,"0,2747220347",FALSE,,,,
4555,1,1,0,0,,0,FALSE,,,,
4556,1,0,19,0,,"0,144992185",FALSE,,,,
4557,1,0,30,0,,"0,2289350289",FALSE,,,,
4558,1,0,23,0,,"0,1755168555",FALSE,,,,
4559,1,0,55,0,,"0,4197142196",TRUE,,,,
4560,1,0,44,1,,"0,380543498",TRUE,,,,
4562,1,0,39,0,,"0,2976155375",FALSE,,,,
4567,1,0,17,0,,"0,1297298497",FALSE,,,,
4568,1,0,17,0,,"0,1297298497",FALSE,,,,
4571,1,0,35,0,,"0,267090867",FALSE,,,,
4572,1,0,32,0,,"0,2441973641",FALSE,,,,
4573,1,1,18,0,,"0,1373610173",FALSE,,,,
4574,1,0,21,0,,"0,1602545202",FALSE,,,,
4579,1,1,27,0,,"0,206041526",FALSE,,,,
4581,1,1,38,0,,"0,2899843699",FALSE,,,,
4583,1,0,21,0,,"0,1602545202",FALSE,,,,
4585,1,0,20,0,,"0,1526233526",FALSE,,,,
4586,1,1,28,0,,"0,2136726936",FALSE,,,,
4588,1,0,10,0,,"0,07631167629",FALSE,,,,
4589,1,0,23,0,,"0,1755168555",FALSE,,,,
4590,1,1,22,0,,"0,1678856878",FALSE,,,,
4591,1,1,24,0,,"0,1831480231",FALSE,,,,
4593,1,1,31,0,,"0,2365661965",FALSE,,,,
4594,1,1,15,0,,"0,1144675144",FALSE,,,,
4597,1,0,28,0,,"0,2136726936",FALSE,,,,
4598,1,1,40,0,,"0,3052467052",FALSE,,,,
4599,1,0,32,0,,"0,2441973641",FALSE,,,,
4610,1,1,15,0,,"0,1144675144",FALSE,,,,
4611,1,0,19,0,,"0,144992185",FALSE,,,,
4613,1,1,19,0,,"0,144992185",FALSE,,,,
4614,1,0,36,1,,"0,3194941569",TRUE,,,,
4615,1,1,59,0,,"0,4502388901",TRUE,,,,
4616,1,1,24,0,,"0,1831480231",FALSE,,,,
4617,1,1,4,0,,"0,03052467052",FALSE,,,,
4618,1,1,20,0,,"0,1526233526",FALSE,,,,
4619,1,0,24,0,,"0,1831480231",FALSE,,,,
4621,1,0,23,0,,"0,1755168555",FALSE,,,,
4622,1,0,3,0,,"0,02289350289",FALSE,,,,
4623,1,1,22,0,,"0,1678856878",FALSE,,,,
4624,1,0,20,0,,"0,1526233526",FALSE,,,,
4625,1,0,0,0,,0,FALSE,,,,
4626,1,1,13,0,,"0,09920517918",FALSE,,,,
4627,1,1,47,0,,"0,3586648786",TRUE,,,,
4628,1,0,51,0,,"0,3891895491",TRUE,,,,
4629,1,1,22,0,,"0,1678856878",FALSE,,,,
4630,1,1,3,0,,"0,02289350289",FALSE,,,,
4631,1,0,4,0,,"0,03052467052",FALSE,,,,
4634,1,1,1,0,,"0,007631167629",FALSE,,,,
4637,1,0,20,0,,"0,1526233526",FALSE,,,,
4638,1,0,19,0,,"0,144992185",FALSE,,,,
4639,1,1,19,0,,"0,144992185",FALSE,,,,
4641,1,1,3,1,,"0,06766562518",FALSE,,,,
4642,1,1,36,0,,"0,2747220347",FALSE,,,,
4643,1,1,20,1,,"0,1973954749",FALSE,,,,
4644,1,0,27,0,,"0,206041526",FALSE,,,,
4647,1,1,27,0,,"0,206041526",FALSE,,,,
4650,1,0,43,0,,"0,3281402081",TRUE,,,,
4651,1,1,42,0,,"0,3205090404",TRUE,,,,
4652,1,0,24,0,,"0,1831480231",FALSE,,,,
4653,1,1,19,0,,"0,144992185",FALSE,,,,
4655,1,0,32,0,,"0,2441973641",FALSE,,,,
4656,1,1,61,0,,"0,4655012254",TRUE,,,,
4660,1,0,35,0,,"0,267090867",FALSE,,,,
4662,1,1,3,0,,"0,02289350289",FALSE,,,,
4664,1,1,45,0,,"0,3434025433",TRUE,,,,
4665,1,1,25,0,,"0,1907791907",FALSE,,,,
4666,1,0,12,0,,"0,09157401155",FALSE,,,,
4667,1,1,2,0,,"0,01526233526",FALSE,,,,
4668,1,0,46,0,,"0,3510337109",TRUE,,,,
4675,1,1,16,0,,"0,1220986821",FALSE,,,,
4676,1,1,29,0,,"0,2213038612",FALSE,,,,
4678,1,0,22,0,,"0,1678856878",FALSE,,,,
4679,1,0,21,0,,"0,1602545202",FALSE,,,,
4684,1,0,42,0,,"0,3205090404",TRUE,,,,
4685,1,1,34,0,,"0,2594596994",FALSE,,,,
4686,1,1,52,0,,"0,3968207167",TRUE,,,,
4687,1,1,43,0,,"0,3281402081",TRUE,,,,
4689,1,1,35,0,,"0,267090867",FALSE,,,,
4691,1,1,27,0,,"0,206041526",FALSE,,,,
4693,1,1,15,0,,"0,1144675144",FALSE,,,,
4694,1,1,44,0,,"0,3357713757",TRUE,,,,
4697,1,1,19,0,,"0,144992185",FALSE,,,,
4698,1,1,47,0,,"0,3586648786",TRUE,,,,
4700,1,1,24,0,,"0,1831480231",FALSE,,,,
4701,1,0,23,0,,"0,1755168555",FALSE,,,,
4703,1,1,5,0,,"0,03815583815",FALSE,,,,
4706,1,1,32,0,,"0,2441973641",FALSE,,,,
4707,1,1,13,0,,"0,09920517918",FALSE,,,,
4709,1,0,18,0,,"0,1373610173",FALSE,,,,
4710,1,0,41,0,,"0,3128778728",TRUE,,,,
4715,1,1,32,0,,"0,2441973641",FALSE,,,,
4717,1,1,13,0,,"0,09920517918",FALSE,,,,
4721,1,1,12,0,,"0,09157401155",FALSE,,,,
4722,1,0,24,0,,"0,1831480231",FALSE,,,,
4726,1,0,18,0,,"0,1373610173",FALSE,,,,
4728,1,1,29,0,,"0,2213038612",FALSE,,,,
4729,1,0,38,0,,"0,2899843699",FALSE,,,,
4732,1,1,17,0,,"0,1297298497",FALSE,,,,
4733,1,0,23,0,,"0,1755168555",FALSE,,,,
4734,1,1,15,0,,"0,1144675144",FALSE,,,,
4735,1,1,11,0,,"0,08394284392",FALSE,,,,
4737,1,1,42,0,,"0,3205090404",TRUE,,,,
4739,1,1,41,0,,"0,3128778728",TRUE,,,,
4740,1,1,14,0,,"0,1068363468",FALSE,,,,
4743,1,1,25,0,,"0,1907791907",FALSE,,,,
4744,1,0,54,0,,"0,412083052",TRUE,,,,
4746,1,0,18,0,,"0,1373610173",FALSE,,,,
4748,1,1,29,0,,"0,2213038612",FALSE,,,,
4750,1,0,36,0,,"0,2747220347",FALSE,,,,
4751,1,1,19,0,,"0,144992185",FALSE,,,,
4753,1,0,20,1,,"0,1973954749",FALSE,,,,
4756,1,1,27,0,,"0,206041526",FALSE,,,,
4763,1,0,20,0,,"0,1526233526",FALSE,,,,
4765,1,0,22,0,,"0,1678856878",FALSE,,,,
4767,1,0,19,0,,"0,144992185",FALSE,,,,
4770,1,0,12,0,,"0,09157401155",FALSE,,,,
4773,1,0,11,0,,"0,08394284392",FALSE,,,,
4776,1,1,61,0,,"0,4655012254",TRUE,,,,
4777,1,1,7,0,,"0,0534181734",FALSE,,,,
4778,1,0,25,0,,"0,1907791907",FALSE,,,,
4779,1,0,51,0,,"0,3891895491",TRUE,,,,
4780,1,1,56,0,,"0,4273453872",TRUE,,,,
4781,1,0,31,0,,"0,2365661965",FALSE,,,,
4782,1,1,16,0,,"0,1220986821",FALSE,,,,
4783,1,1,29,0,,"0,2213038612",FALSE,,,,
4784,1,1,17,0,,"0,1297298497",FALSE,,,,
4785,1,0,47,0,,"0,3586648786",TRUE,,,,
4789,1,1,56,0,,"0,4273453872",TRUE,,,,
4790,1,1,25,0,,"0,1907791907",FALSE,,,,
4791,1,1,13,0,,"0,09920517918",FALSE,,,,
4792,1,1,41,0,,"0,3128778728",TRUE,,,,
4793,1,1,28,0,,"0,2136726936",FALSE,,,,
4794,1,1,25,0,,"0,1907791907",FALSE,,,,
4795,1,1,11,0,,"0,08394284392",FALSE,,,,
4797,1,0,24,0,,"0,1831480231",FALSE,,,,
4800,1,1,59,0,,"0,4502388901",TRUE,,,,
4801,1,0,31,0,,"0,2365661965",FALSE,,,,
4804,1,0,21,0,,"0,1602545202",FALSE,,,,
4805,1,1,27,0,,"0,206041526",FALSE,,,,
4806,1,1,37,0,,"0,2823532023",FALSE,,,,
4808,1,0,36,0,,"0,2747220347",FALSE,,,,
4810,1,1,27,0,,"0,206041526",FALSE,,,,
4813,1,1,19,0,,"0,144992185",FALSE,,,,
4817,1,0,9,0,,"0,06868050866",FALSE,,,,
4818,1,0,40,0,,"0,3052467052",FALSE,,,,
4819,1,1,23,0,,"0,1755168555",FALSE,,,,
4820,1,0,4,0,,"0,03052467052",FALSE,,,,
4822,1,1,21,0,,"0,1602545202",FALSE,,,,
4823,1,0,4,0,,"0,03052467052",FALSE,,,,
4824,1,1,19,1,,"0,1897643072",FALSE,,,,
4825,1,1,18,0,,"0,1373610173",FALSE,,,,
4826,1,0,26,0,,"0,1984103584",FALSE,,,,
4828,1,1,16,0,,"0,1220986821",FALSE,,,,
4829,1,1,14,0,,"0,1068363468",FALSE,,,,
4832,1,1,21,0,,"0,1602545202",FALSE,,,,
4833,1,0,29,0,,"0,2213038612",FALSE,,,,
4834,1,1,40,0,,"0,3052467052",FALSE,,,,
4837,1,1,41,0,,"0,3128778728",TRUE,,,,
4838,1,1,16,0,,"0,1220986821",FALSE,,,,
4840,1,1,30,0,,"0,2289350289",FALSE,,,,
4841,1,0,40,0,,"0,3052467052",FALSE,,,,
4842,1,0,63,0,,"0,4807635606",TRUE,,,,
4843,1,0,32,0,,"0,2441973641",FALSE,,,,
4847,1,1,19,0,,"0,144992185",FALSE,,,,
4848,1,1,44,0,,"0,3357713757",TRUE,,,,
4852,1,0,26,1,,"0,2431824807",FALSE,,,,
4853,1,1,47,0,,"0,3586648786",TRUE,,,,
4854,1,1,20,0,,"0,1526233526",FALSE,,,,
4855,1,1,48,0,,"0,3662960462",TRUE,,,,
4856,1,1,4,0,,"0,03052467052",FALSE,,,,
4857,1,0,25,0,,"0,1907791907",FALSE,,,,
4858,1,0,0,0,,0,FALSE,,,,
4863,1,1,9,0,,"0,06868050866",FALSE,,,,
4866,1,1,27,0,,"0,206041526",FALSE,,,,
4867,1,0,34,0,,"0,2594596994",FALSE,,,,
4868,1,1,18,0,,"0,1373610173",FALSE,,,,
4869,1,1,16,0,,"0,1220986821",FALSE,,,,
4870,1,1,43,0,,"0,3281402081",TRUE,,,,
4872,1,0,20,0,,"0,1526233526",FALSE,,,,
4876,1,1,14,0,,"0,1068363468",FALSE,,,,
4879,1,0,2,0,,"0,01526233526",FALSE,,,,
4880,1,1,3,0,,"0,02289350289",FALSE,,,,
4881,1,1,28,0,,"0,2136726936",FALSE,,,,
4884,1,0,18,0,,"0,1373610173",FALSE,,,,
4886,1,1,26,0,,"0,1984103584",FALSE,,,,
4888,1,0,26,0,,"0,1984103584",FALSE,,,,
4889,1,0,29,0,,"0,2213038612",FALSE,,,,
4891,1,0,25,0,,"0,1907791907",FALSE,,,,
4894,1,1,18,0,,"0,1373610173",FALSE,,,,
4895,1,1,32,0,,"0,2441973641",FALSE,,,,
4899,1,0,47,0,,"0,3586648786",TRUE,,,,
4900,1,1,27,0,,"0,206041526",FALSE,,,,
4901,1,1,8,0,,"0,06104934103",FALSE,,,,
4903,1,1,30,0,,"0,2289350289",FALSE,,,,
4904,1,1,24,0,,"0,1831480231",FALSE,,,,
4905,1,1,13,0,,"0,09920517918",FALSE,,,,
4907,1,0,23,0,,"0,1755168555",FALSE,,,,
4908,1,0,16,0,,"0,1220986821",FALSE,,,,
4910,1,0,46,0,,"0,3510337109",TRUE,,,,
4912,1,1,22,0,,"0,1678856878",FALSE,,,,
4913,1,1,29,0,,"0,2213038612",FALSE,,,,
4914,1,1,46,0,,"0,3510337109",TRUE,,,,
4915,1,0,24,0,,"0,1831480231",FALSE,,,,
4916,1,1,33,0,,"0,2518285318",FALSE,,,,
4918,1,1,57,0,,"0,4349765549",TRUE,,,,
4919,1,0,27,0,,"0,206041526",FALSE,,,,
4920,1,0,38,0,,"0,2899843699",FALSE,,,,
4921,1,0,28,0,,"0,2136726936",FALSE,,,,
4923,1,1,22,0,,"0,1678856878",FALSE,,,,
4924,1,0,33,0,,"0,2518285318",FALSE,,,,
4925,1,0,35,0,,"0,267090867",FALSE,,,,
4926,1,0,24,0,,"0,1831480231",FALSE,,,,
4927,1,1,31,0,,"0,2365661965",FALSE,,,,
4928,1,1,16,0,,"0,1220986821",FALSE,,,,
4929,1,1,28,0,,"0,2136726936",FALSE,,,,
4930,1,0,8,0,,"0,06104934103",FALSE,,,,
4931,1,1,20,0,,"0,1526233526",FALSE,,,,
4934,1,0,70,0,,"0,534181734",TRUE,,,,
4935,1,1,17,0,,"0,1297298497",FALSE,,,,
4936,1,1,14,0,,"0,1068363468",FALSE,,,,
4937,1,1,21,0,,"0,1602545202",FALSE,,,,
4938,1,0,37,0,,"0,2823532023",FALSE,,,,
4942,1,0,14,0,,"0,1068363468",FALSE,,,,
4943,1,0,21,0,,"0,1602545202",FALSE,,,,
4945,1,1,20,0,,"0,1526233526",FALSE,,,,
4949,1,0,39,1,,"0,3423876598",TRUE,,,,
4950,1,0,18,0,,"0,1373610173",FALSE,,,,
4951,1,1,37,0,,"0,2823532023",FALSE,,,,
4953,1,0,18,0,,"0,1373610173",FALSE,,,,
